"Sector","Grupo","Sendero","Distancia (m)","Parcela","Árbol","Especie","DAP (cm)","HT (m)","HC (m)","LD"," AB (m2)"
"II","3","9","120","3","16","Encino","14.2","10.7188","3.2","0","0.015836769"
"II","3","9","120","3","17","Encino","6.7","4.1402","2.51","0","0.003525652"
"II","3","9","120","3","18","Encino","14.7","9.7282","2.61","0","0.016971669"
"II","3","9","120","3","19","Agrito","6.1","6.6294","","0","0.002922467"
"II","3","9","120","3","20","Encino","7.4","7.6454","2.99","0","0.00430084"
"II","3","9","130","4","1","Encino","14.8","8.33","4","1","0.017203361"
"II","3","9","130","4","2","Encino","17.7","9.24","4","0","0.024605739"
"II","3","9","130","4","3","Encino","14","8.07","1.9","0","0.015393804"
"II","3","9","130","4","4","Encino","6.5","6.4008","","0","0.003318307"
"II","3","9","130","4","5","Encino","24.7","10.1346","6","0","0.047916357"
"II","3","9","130","4","6","Molinillo","14.16","9.9822","","0","0.015747673"
"II","3","9","130","4","7","Molinillo","16.5","9.88","","0","0.021382465"
"II","3","9","130","4","8","Molinillo","15.8","9.88","","0","0.01960668"
"II","3","9","140","5","1","Encino","22","10.6172","4.11","0","0.038013271"
"II","3","9","140","5","2","Encino","9","6.7564","2.97","0","0.006361725"
"II","3","9","140","5","3","Encino","18","10.668","5.56","0","0.0254469"
"II","3","9","140","5","4","Molinillo","9.7","9.7028","","0","0.007389811"
"II","3","9","140","5","5","Molinillo","11.2","6.35","","0","0.009852035"
"II","3","9","140","5","6","Encino","11.4","10.3124","4.87","0","0.010207035"
"II","3","9","140","5","7","Encino","10.2","10.3124","3.6","0","0.008171282"
"II","3","9","140","5","8","Encino","11.4","10.3124","3.3","0","0.010207035"
"II","3","9","140","5","9","Encino","9.9","8.0518","4.45","0","0.007697687"
"II","3","9","140","5","10","Encino","9.9","8.0518","1.82","0","0.007697687"
"II","3","9","140","5","11","Encino","7.1","4.9022","1.82","0","0.003959192"
"II","3","9","140","5","12","Encino","10.6","8.9154","3.75","0","0.008824734"
"II","3","9","140","5","13","Encino","5.9","6.8834","3.7","0","0.002733971"
"II","3","9","140","5","14","Encino","10.5","9.4488","3.32","0","0.008659015"
"II","3","9","140","5","15","Encino","7.8","6.9342","5.28","0","0.004778362"
"II","3","9","140","5","16","Encino","7.1","6.9342","3.86","0","0.003959192"
"II","3","9","140","5","17","Encino","6.9","6.9342","3.25","0","0.003739281"
"II","4","13","10","1","1","Encino","6.2","5.46","2.25","0","0.003019071"
"II","4","13","10","1","2","Encino","12.8","10.86","3.85","0","0.012867964"
"II","4","13","10","1","3","Encino","5.1","3.12","2.51","0","0.002042821"
"II","4","13","10","1","4","Encino","13.5","10.71","5.35","0","0.014313882"
"II","4","13","10","1","5","Encino","10.1","6.04","3.52","0","0.008011847"
"II","4","13","10","1","6","Encino","5.5","6.76","2.56","0","0.002375829"
"II","4","13","10","1","7","Encino","13.5","7.49","4.59","0","0.014313882"
"II","4","13","10","1","8","Encino","10.7","9.21","6.93","0","0.008992024"
"II","4","13","10","1","9","Encino","9.4","8.5","4.13","0","0.006939778"
"II","4","13","10","1","10","Encino","5.2","5.35","3.78","0","0.002123717"
"II","4","13","10","1","11","Roble","15.4","11.93","8.53","1","0.018626503"
"II","4","13","10","1","12","Encino","7.5","3.73","1.87","0","0.004417865"
"II","4","13","10","1","13","Roble","19","11.32","5.23","0","0.028352874"
"II","4","13","10","1","14","Roble","16.6","11.32","7.67","0","0.021642432"
"II","4","13","10","1","15","Roble","6","6.19","2.76","0","0.002827433"
"II","4","13","10","1","16","Roble","18.2","10.79","4.08","0","0.026015529"
"II","4","13","10","1","17","Roble","14.1","8.22","4.54","0","0.015614501"
"II","4","13","20","2","1","Roble","6.4","6.45","4.22","0","0.003216991"
"II","4","13","20","2","2","Roble","14.7","11.19","5.12","0","0.016971669"
"II","4","13","20","2","3","Roble","5.7","7.94","6.02","0","0.002551759"
